,pk_teuna_fikt,sug_tik,THUM_GEOGRAFI,SUG_DEREH,SEMEL_YISHUV,REHOV1,REHOV2,BAYIT,ZOMET_IRONI,KVISH1,KVISH2,KM,ZOMET_LO_IRONI,YEHIDA,SHNAT_TEUNA,HODESH_TEUNA,SHAA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,HUMRAT_TEUNA,SUG_TEUNA,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,MEZEG_AVIR,PNE_KVISH,SUG_EZEM,MERHAK_EZEM,LO_HAZA,OFEN_HAZIYA,MEKOM_HAZIYA,KIVUN_HAZIYA,MAHOZ,NAFA,EZOR_TIVI,MAAMAD_MINIZIPALI,ZURAT_ISHUV,STATUS_IGUN,X,Y,lon,lat
1521,2015011380.0,1.0,1.0,1.0,4000.0,512.0,505.0,,10630313.0,,,,,11.0,2015.0,5.0,69.0,4.0,1.0,1.0,3.0,2.0,0.0,3.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,1.0,198748.0,747312.0,34.98330094861442,32.82034025528086
1529,2015011432.0,1.0,1.0,2.0,4000.0,635.0,,66.0,,,,,,11.0,2015.0,6.0,4.0,4.0,5.0,3.0,3.0,11.0,0.0,3.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,1.0,198771.0,746262.0,34.98356998135728,32.81087298627811
1538,2015011534.0,1.0,1.0,2.0,4000.0,415.0,,9999.0,,,,,,11.0,2015.0,12.0,51.0,4.0,1.0,4.0,2.0,1.0,9.0,0.0,0.0,0.0,0.0,5.0,11.0,9.0,9.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,3.0,199365.0,747422.0,34.98988734995961,32.82134357284527
1542,2015011551.0,1.0,1.0,2.0,4000.0,195.0,,9999.0,,,,,,11.0,2015.0,3.0,19.0,1.0,5.0,5.0,3.0,11.0,3.0,0.0,3.0,1.0,4.0,3.0,3.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,3.0,205213.0,745241.0,35.05237099796988,32.80176914862441
1573,2015011783.0,1.0,1.0,2.0,4000.0,413.0,,15.0,,,,,,11.0,2015.0,11.0,30.0,4.0,1.0,4.0,3.0,1.0,0.0,3.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,3.0,3.0,1.0,3.0,31.0,311.0,0.0,13.0,1.0,199354.0,746934.0,34.98978046296092,32.816943144694875
1594,2015011911.0,1.0,1.0,1.0,4000.0,288.0,212.0,,470131.0,,,,,11.0,2015.0,12.0,70.0,4.0,5.0,3.0,3.0,2.0,0.0,2.0,3.0,1.0,5.0,3.0,3.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,1.0,205570.0,745683.0,35.056175916809636,32.80575919399899
1636,2015012141.0,1.0,1.0,2.0,4000.0,360.0,,91.0,,,,,,11.0,2015.0,10.0,67.0,4.0,1.0,7.0,3.0,3.0,0.0,3.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,1.0,199446.0,747446.0,34.99075182009981,32.821561456605906
1642,2015012195.0,1.0,1.0,1.0,4000.0,856.0,880.0,,280526.0,,,,,11.0,2015.0,1.0,63.0,4.0,1.0,3.0,3.0,2.0,0.0,5.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,1.0,200332.0,745976.0,35.000243637238114,32.80832244738871
1658,2015012310.0,1.0,1.0,1.0,4000.0,296.0,242.0,,40131.0,,,,,11.0,2015.0,8.0,69.0,4.0,1.0,5.0,3.0,2.0,3.0,0.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,1.0,205654.0,747428.0,35.0570468200337,32.82149474269198
1707,2015012698.0,1.0,1.0,2.0,4000.0,602.0,,9999.0,,,,,,11.0,2015.0,10.0,33.0,4.0,1.0,5.0,3.0,1.0,3.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,3.0,3.0,2.0,3.0,31.0,311.0,0.0,13.0,3.0,200961.0,741737.0,35.00704410455186,32.77011053141253
1708,2015012709.0,1.0,1.0,1.0,4000.0,367.0,442.0,,18380735.0,,,,,11.0,2015.0,9.0,15.0,4.0,5.0,6.0,2.0,2.0,0.0,3.0,3.0,1.0,4.0,3.0,3.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,1.0,204547.0,745187.0,35.045261276374454,32.80127340062897
1715,2015012750.0,1.0,1.0,2.0,4000.0,811.0,,9999.0,,,,,,11.0,2015.0,1.0,78.0,4.0,5.0,5.0,3.0,8.0,0.0,3.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,7.0,2.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,3.0,199287.0,746474.0,34.98907501881286,32.81279415873314
1763,2015013111.0,1.0,1.0,1.0,4000.0,1161.0,522.0,,14600314.0,,,,,11.0,2015.0,8.0,75.0,4.0,1.0,5.0,3.0,2.0,0.0,2.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,1.0,198360.0,748333.0,34.979134359663576,32.8295390660297
